"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
World                  ,"193,569,344" ,"+193,083" ,"4,154,729" ,"+3,739"  ,"175,851,066"  ,"+138,000"   ,"13,563,549" ,"82,467"           ,"24,833"         ,533.0         ,              ,             ,
USA                    ,"35,213,594"  ,           ,"626,172 "  ,          ,"29,478,173"   ,             ,"5,109,249"  ,"6,607"            ,"105,730"        ,"1,880"       ,"520,411,488" ,"1,562,559"  ,"333,050,797 "
India                  ,"31,293,062"  ,"+1,358"   ,"419,502 "  ,          ,"30,468,079"   ,"+7,775"     ,"405,481"    ,"8,944"            ,"22,443"         ,301           ,"452,939,545" ,"324,849"    ,"1,394,309,103 "
Brazil                 ,"19,524,092"  ,           ,"547,134 "  ,          ,"18,259,711"   ,             ,"717,247"    ,"8,318"            ,"91,169"         ,"2,555"       ,"54,786,381"  ,"255,828"    ,"214,153,392 "
Russia                 ,"6,078,522"   ,"+23,811"  ,"152,296 "  ,+795      ,"5,450,004"    ,"+22,547"    ,"476,222"    ,"2,300"            ,"41,634"         ,"1,043"       ,"161,400,000" ,"1,105,475"  ,"146,000,561 "
France                 ,"5,933,510"   ,           ,"111,565 "  ,          ,"5,669,083"    ,             ,"152,862"    ,868                ,"90,690"         ,"1,705"       ,"99,605,085"  ,"1,522,408"  ,"65,426,028 "
UK                     ,"5,602,321"   ,           ,"128,980 "  ,          ,"4,427,533"    ,             ,"1,045,808"  ,647                ,"82,070"         ,"1,889"       ,"236,677,745" ,"3,467,178"  ,"68,262,351 "
Turkey                 ,"5,563,903"   ,           ,"50,761 "   ,          ,"5,405,339"    ,             ,"107,803"    ,543                ,"65,231"         ,595           ,"65,698,849"  ,"770,248"    ,"85,295,702 "
Argentina              ,"4,812,351"   ,           ,"103,074 "  ,          ,"4,447,953"    ,             ,"261,324"    ,"4,532"            ,"105,457"        ,"2,259"       ,"18,608,333"  ,"407,782"    ,"45,633,094 "
Colombia               ,"4,692,570"   ,           ,"117,836 "  ,          ,"4,449,027"    ,             ,"125,707"    ,"8,155"            ,"91,198"         ,"2,290"       ,"21,876,392"  ,"425,159"    ,"51,454,592 "
Italy                  ,"4,302,393"   ,           ,"127,920 "  ,          ,"4,119,607"    ,             ,"54,866"     ,158                ,"71,270"         ,"2,119"       ,"75,555,223"  ,"1,251,580"  ,"60,367,884 "
Spain                  ,"4,249,258"   ,           ,"81,194 "   ,          ,"3,681,125"    ,             ,"486,939"    ,"1,240"            ,"90,847"         ,"1,736"       ,"55,184,196"  ,"1,179,807"  ,"46,773,907 "
Germany                ,"3,758,406"   ,           ,"91,990 "   ,          ,"3,643,300"    ,+700         ,"23,116"     ,354                ,"44,707"         ,"1,094"       ,"65,845,568"  ,"783,253"    ,"84,066,782 "
